symbol,instrument_key
NAM-INDIA.NS,NSE_EQ|INE298J01013
NUVAMA.NS,NSE_EQ|INE531F01015
NUVOCO.NS,NSE_EQ|INE118D01016
OBEROIRLTY.NS,NSE_EQ|INE093I01010
ONGC.NS,NSE_EQ|INE213A01029
OIL.NS,NSE_EQ|INE274J01014
OLECTRA.NS,NSE_EQ|INE260D01016
PAYTM.NS,NSE_EQ|INE982J01020
OPTIEMUS.NS,NSE_EQ|INE350C01017
OFSS.NS,NSE_EQ|INE881D01027
ORCHPHARMA.NS,NSE_EQ|INE191A01027
ORIENTCEM.NS,NSE_EQ|INE876N01018
ORIENTELEC.NS,NSE_EQ|INE142Z01019
ORISSAMINE.NS,NSE_EQ|INE725E01024
POLICYBZR.NS,NSE_EQ|INE417T01026
PCBL.NS,NSE_EQ|INE602A01031
PGEL.NS,NSE_EQ|INE457L01029
PIIND.NS,NSE_EQ|INE603J01030
PNBHOUSING.NS,NSE_EQ|INE572E01012
PNCINFRA.NS,NSE_EQ|INE195J01029
PTC.NS,NSE_EQ|INE877F01012
PTCIL.NS,NSE_EQ|INE596F01018
PVRINOX.NS,NSE_EQ|INE191H01014
PAGEIND.NS,NSE_EQ|INE761H01022
PAISALO.NS,NSE_EQ|INE420C01059
PARADEEP.NS,NSE_EQ|INE088F01024
PARAS.NS,NSE_EQ|INE045601015
PATANJALI.NS,NSE_EQ|INE619A01035
PATELENG.NS,NSE_EQ|INE244B01030
PERSISTENT.NS,NSE_EQ|INE262H01021
PETRONET.NS,NSE_EQ|INE347G01014
PFIZER.NS,NSE_EQ|INE182A01018
PHOENIXLTD.NS,NSE_EQ|INE211B01039
PIDILITIND.NS,NSE_EQ|INE318A01026
PEL.NS,NSE_EQ|INE140A01024
PPLPHARMA.NS,NSE_EQ|INE0DK501011
POLYMED.NS,NSE_EQ|INE205C01021
POLYCAB.NS,NSE_EQ|INE455K01017
POLYPLEX.NS,NSE_EQ|INE633B01018
POONAWALLA.NS,NSE_EQ|INE511C01022
PFC.NS,NSE_EQ|INE134E01011
POWERGRID.NS,NSE_EQ|INE752E01010
POWERMECH.NS,NSE_EQ|INE211R01019
PRAJIND.NS,NSE_EQ|INE074A01025
PRESTIGE.NS,NSE_EQ|INE811K01011
PRICOLLTD.NS,NSE_EQ|INE726V01018
PRINCEPIPE.NS,NSE_EQ|INE689W01016
PGHL.NS,NSE_EQ|INE199A01012
PGHH.NS,NSE_EQ|INE179A01014
PRUDENT.NS,NSE_EQ|INE00F201020
PNB.NS,NSE_EQ|INE160A01022
PURVA.NS,NSE_EQ|INE323I01011
RRKABEL.NS,NSE_EQ|INE777K01022
RBLBANK.NS,NSE_EQ|INE976G01028
RECLTD.NS,NSE_EQ|INE020B01018
RHIM.NS,NSE_EQ|INE743M01012
RITES.NS,NSE_EQ|INE320J01015
RADICO.NS,NSE_EQ|INE944F01028
RVNL.NS,NSE_EQ|INE415G01027
